name,shipping,status,price,free_returns,items_sold
The Good the Bad and the Ugly - VERY GOOD,0,"Pre-Owned · DVD · The Good, the Bad and the Ugly",443,True,
Dreamworks 24 Movie Collection (12 Disc Box Set) Brand New & Sealed USA,0,Brand New · DVD,2399,True,
Family Favorites 10-Movie Collection DVD Dabney Coleman NEW,0,Brand New · DVD,499,False,442
Spaceballs - VERY GOOD,0,Pre-Owned · DVD · Spaceballs,359,True,
MAN ON FIRE MOVIE - DVD - VERY GOOD,0,Pre-Owned · DVD · Man ON Fire,359,True,
Jurassic World Ultimate Collection-6 MOVIE COLLECTION Blu-ray+ DVD NODigital,0,New (Other) · Blu-ray · Jurassic WORLD Ultimate Collection,2499,False,50
"#37 Western, War Movies DVD LOT PICK & CHOOSE  $4 Flat CombineShip",400,Pre-Owned,150,False,
ANT-MAN 1 + ANT-MAN and the WASP DVD 2 Disc Set - Brand New - Free Shipping ,0,Brand New · DVD · Ant-Man,1000,False,52
"Top Gun (DVD, ) Tom Cruise, Val Kilmer, Kelly McGillis, Meg Ryan",0,Brand New · DVD · Top Gun,825,True,
"Night of the Comet (Collector's Edition) [New Blu-ray] With DVD, Collector's E",0,Brand New · Blu-ray · Night of the Comet,1496,True,
"PCU (DVD, 1994) New Sealed Jeremy Piven NEW & SEALED",0,Brand New · DVD · PCU,2199,True,141
